INFO 2025-09-17 14:58:18,507 basehttp 4984 15532 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-17 14:58:18,535 basehttp 4984 15532 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
WARNING 2025-09-17 14:58:34,987 log 4984 15532 Unauthorized: /api/clubs/
WARNING 2025-09-17 14:58:34,988 basehttp 4984 15532 "GET /api/clubs/ HTTP/1.1" 401 58
WARNING 2025-09-17 14:59:44,415 log 4984 13988 Unauthorized: /api/clubs/
WARNING 2025-09-17 14:59:44,417 basehttp 4984 13988 "GET /api/clubs/ HTTP/1.1" 401 58
INFO 2025-09-17 15:08:50,219 basehttp 4984 15268 "GET /api/ HTTP/1.1" 200 177
INFO 2025-09-17 15:09:03,439 basehttp 4984 15268 "GET /api/clubs HTTP/1.1" 301 0
WARNING 2025-09-17 15:09:03,452 log 4984 5044 Unauthorized: /api/clubs/
WARNING 2025-09-17 15:09:03,454 basehttp 4984 5044 "GET /api/clubs/ HTTP/1.1" 401 58
INFO 2025-09-17 15:09:32,674 basehttp 4984 5044 "GET /health HTTP/1.1" 301 0
INFO 2025-09-17 15:09:32,682 basehttp 4984 18756 "GET /health/ HTTP/1.1" 200 70
WARNING 2025-09-17 15:11:27,774 log 4984 8980 Bad Request: /api/auth/send-otp/
WARNING 2025-09-17 15:11:27,777 basehttp 4984 8980 "POST /api/auth/send-otp/ HTTP/1.1" 400 44
WARNING 2025-09-17 15:14:42,246 log 4984 1464 Bad Request: /api/auth/send-otp/
WARNING 2025-09-17 15:14:42,248 basehttp 4984 1464 "POST /api/auth/send-otp/?+919513363090 HTTP/1.1" 400 44
WARNING 2025-09-17 15:15:51,901 log 4984 5616 Bad Request: /api/auth/send-otp/
WARNING 2025-09-17 15:15:51,903 basehttp 4984 5616 "POST /api/auth/send-otp/?9513363090 HTTP/1.1" 400 44
WARNING 2025-09-17 15:18:55,435 log 4984 17708 Bad Request: /api/auth/send-otp/
WARNING 2025-09-17 15:18:55,458 basehttp 4984 17708 "POST /api/auth/send-otp/?9513363090 HTTP/1.1" 400 44
INFO 2025-09-19 13:20:45,006 autoreload 19968 17764 Watching for file changes with StatReloader
WARNING 2025-09-19 13:26:09,510 log 19968 20436 Bad Request: /api/auth/send-otp/
WARNING 2025-09-19 13:26:09,514 basehttp 19968 20436 "POST /api/auth/send-otp/?phone_number=+919513363090 HTTP/1.1" 400 44
WARNING 2025-09-19 13:26:25,449 log 19968 20436 Bad Request: /api/auth/send-otp/
WARNING 2025-09-19 13:26:25,450 basehttp 19968 20436 "POST /api/auth/send-otp/?phone_number=9513363090 HTTP/1.1" 400 44
WARNING 2025-09-19 13:27:37,450 log 19968 18152 Not Found: /api/auth
WARNING 2025-09-19 13:27:37,452 basehttp 19968 18152 "POST /api/auth HTTP/1.1" 404 3499
WARNING 2025-09-19 13:29:26,362 log 19968 20236 Not Found: /api/auth
WARNING 2025-09-19 13:29:26,366 basehttp 19968 20236 "POST /api/auth HTTP/1.1" 404 3499
WARNING 2025-09-19 13:29:55,846 log 19968 20236 Not Found: /api/auth
WARNING 2025-09-19 13:29:55,847 basehttp 19968 20236 "POST /api/auth HTTP/1.1" 404 3499
INFO 2025-09-19 13:53:56,944 autoreload 10260 3384 Watching for file changes with StatReloader
WARNING 2025-09-19 13:54:12,254 log 10260 1496 Not Found: /api/auth
WARNING 2025-09-19 13:54:12,256 basehttp 10260 1496 "POST /api/auth HTTP/1.1" 404 3499
WARNING 2025-09-19 13:54:40,453 log 10260 152 Not Found: /
WARNING 2025-09-19 13:54:40,455 basehttp 10260 152 "GET / HTTP/1.1" 404 3456
INFO 2025-09-19 13:54:45,674 basehttp 10260 20320 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-19 13:54:46,095 basehttp 10260 20320 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2025-09-19 13:54:46,121 basehttp 10260 20320 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-09-19 13:54:46,122 basehttp 10260 6612 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
